@relation jAudio
@ATTRIBUTE "Spectral Centroid0" NUMERIC
@ATTRIBUTE "Spectral Rolloff Point0" NUMERIC
@ATTRIBUTE "Spectral Flux0" NUMERIC
@ATTRIBUTE "Compactness0" NUMERIC
@ATTRIBUTE "Spectral Variability0" NUMERIC
@ATTRIBUTE "Root Mean Square0" NUMERIC
@ATTRIBUTE "Fraction Of Low Energy Windows0" NUMERIC
@ATTRIBUTE "Zero Crossings0" NUMERIC
@ATTRIBUTE "Strongest Beat0" NUMERIC
@ATTRIBUTE "Beat Sum0" NUMERIC
@ATTRIBUTE "Strength Of Strongest Beat0" NUMERIC
@ATTRIBUTE "LPC0" NUMERIC
@ATTRIBUTE "LPC1" NUMERIC
@ATTRIBUTE "LPC2" NUMERIC
@ATTRIBUTE "LPC3" NUMERIC
@ATTRIBUTE "LPC4" NUMERIC
@ATTRIBUTE "LPC5" NUMERIC
@ATTRIBUTE "LPC6" NUMERIC
@ATTRIBUTE "LPC7" NUMERIC
@ATTRIBUTE "LPC8" NUMERIC
@ATTRIBUTE "LPC9" NUMERIC
@ATTRIBUTE "Method of Moments0" NUMERIC
@ATTRIBUTE "Method of Moments1" NUMERIC
@ATTRIBUTE "Method of Moments2" NUMERIC
@ATTRIBUTE "Method of Moments3" NUMERIC
@ATTRIBUTE "Method of Moments4" NUMERIC
@ATTRIBUTE "Area Method of Moments of MFCCs0" NUMERIC
@ATTRIBUTE "Area Method of Moments of MFCCs1" NUMERIC
@ATTRIBUTE "Area Method of Moments of MFCCs2" NUMERIC
@ATTRIBUTE "Area Method of Moments of MFCCs3" NUMERIC
@ATTRIBUTE "Area Method of Moments of MFCCs4" NUMERIC
@ATTRIBUTE "Area Method of Moments of MFCCs5" NUMERIC
@ATTRIBUTE "Area Method of Moments of MFCCs6" NUMERIC
@ATTRIBUTE "Area Method of Moments of MFCCs7" NUMERIC
@ATTRIBUTE "Area Method of Moments of MFCCs8" NUMERIC
@ATTRIBUTE "Area Method of Moments of MFCCs9" NUMERIC

@DATA
6.488E1,5.742E-1,7.987E-7,1.496E3,5.934E-5,3.19E-3,?,1.66E2,?,?,?,-5.374E-1,6.751E-2,-1.938E-1,-4.922E-2,-1.542E-1,-7.363E-2,1.553E-1,-6.696E-2,-3.457E-2,0E0,1.772E-2,9.518E1,4.919E3,1.46E5,5.14E7,-1.755E3,8.546E1,-5.364E-2,-6.762E3,4.418E0,9.921E-1,1.113E6,-2.837E1,1.781E-2,2.588E1
5.61E1,4.805E-1,7.018E-7,1.612E3,6.094E-5,3.265E-3,?,1.63E2,?,?,?,-5.422E-1,1.809E-1,-1.531E-1,-1.864E-1,-2.31E-1,-1.528E-1,1.001E-1,-5.133E-2,-1.554E-3,0E0,1.671E-2,9.589E1,5.13E3,1.601E5,5.625E7,-1.753E3,8.997E1,-1.203E-1,-7.524E3,1.071E1,3.425E-1,1.307E6,-2.128E1,2.847E-2,1.966E1
6.4E1,4.844E-1,7.09E-7,1.504E3,5.037E-5,3.03E-3,?,1.52E2,?,?,?,-5.917E-1,1.556E-1,-1.749E-1,-1.022E-1,-1.292E-1,-6.257E-2,8.921E-2,-1.643E-2,-4.76E-2,0E0,1.65E-2,9.3E1,4.821E3,1.885E5,5.473E7,-1.758E3,9.445E1,-1.549E-1,-8.323E3,1.452E1,1.394E-1,1.52E6,-2.221E1,3.644E-2,1.86E1
5.055E1,4.414E-1,8.061E-7,1.498E3,6.507E-5,3.369E-3,?,1.34E2,?,?,?,-6.181E-1,1.054E-1,-2.038E-1,-4.427E-2,-1.071E-1,-1.032E-1,6.395E-2,-3.733E-2,3.35E-2,0E0,1.856E-2,8.906E1,4.944E3,2.022E5,5.553E7,-1.75E3,9.899E1,-2.229E-1,-9.172E3,2.197E1,-3.774E-1,1.758E6,-1.769E1,3.984E-2,1.442E1
6.271E1,5.312E-1,7.963E-7,1.465E3,5.288E-5,3.102E-3,?,1.52E2,?,?,?,-6.009E-1,1.438E-1,-1.815E-1,-3.5E-2,-4.093E-2,-8.874E-2,1.212E-1,3.249E-2,-8.503E-2,0E0,1.7E-2,9.201E1,5.009E3,2.043E5,5.678E7,-1.759E3,1.035E2,-2.64E-1,-1.006E4,2.712E1,-6.551E-1,2.019E6,-4.232E1,1.079E-1,1.273E1
6.214E1,4.844E-1,7.383E-7,1.393E3,5.24E-5,3.053E-3,?,1.6E2,?,?,?,-5.51E-1,1.507E-1,-1.714E-1,3.025E-4,-1.811E-1,-6.643E-2,9.434E-2,-1.818E-2,-2.477E-2,0E0,1.675E-2,9.043E1,4.675E3,1.787E5,5.067E7,-1.752E3,1.08E2,-3.256E-1,-1.098E4,3.467E1,-1.012E0,2.304E6,-1.084E2,3.268E-1,1.099E1
6.23E1,4.727E-1,9.84E-7,1.523E3,5.773E-5,3.111E-3,?,1.61E2,?,?,?,-5.613E-1,1.494E-1,-1.36E-1,-6.744E-2,-2.065E-1,-6.431E-2,3.65E-2,-4.256E-2,-5.847E-2,0E0,1.776E-2,9.335E1,4.763E3,1.654E5,5.06E7,-1.759E3,1.125E2,-3.439E-1,-1.195E4,3.792E1,-9.216E-1,2.613E6,-1.732E2,5.293E-1,1.396E1
6.002E1,4.727E-1,7.265E-7,1.409E3,5.322E-5,3.292E-3,?,1.44E2,?,?,?,-6.023E-1,1.193E-1,-1.809E-1,-8.37E-2,-8.336E-2,-7.168E-2,7.898E-2,-2.175E-2,-4.606E-2,0E0,1.724E-2,9.175E1,4.983E3,1.935E5,5.544E7,-1.762E3,1.17E2,-3.546E-1,-1.294E4,4.016E1,-7.505E-1,2.947E6,-3.084E2,9.346E-1,1.791E1
5.709E1,4.18E-1,8.005E-7,1.509E3,6.204E-5,3.175E-3,?,1.45E2,?,?,?,-6.052E-1,1.798E-1,-1.49E-1,-1.218E-1,-2.55E-1,-8.54E-2,1.175E-1,2.856E-2,-3.823E-2,0E0,1.711E-2,9.034E1,4.976E3,2.064E5,5.82E7,-1.773E3,1.215E2,-3.216E-1,-1.398E4,3.732E1,-2.918E-1,3.309E6,-4.228E2,1.119E0,2.386E1
6.493E1,4.727E-1,7.161E-7,1.67E3,5.822E-5,3.463E-3,?,1.55E2,?,?,?,-5.632E-1,2.096E-1,-1.607E-1,-2.96E-2,-2.26E-1,6.824E-3,6.291E-2,2.942E-2,5.077E-4,0E0,1.791E-2,9.206E1,4.46E3,1.526E5,4.64E7,-1.777E3,1.259E2,-2.251E-1,-1.505E4,2.633E1,8.642E-1,3.693E6,-5.067E2,9.063E-1,3.695E1
5.657E1,4.414E-1,7.608E-7,1.467E3,5.47E-5,3.266E-3,?,1.34E2,?,?,?,-6.284E-1,4.832E-2,-2.07E-1,-6.215E-2,-1.532E-1,-1.25E-1,1.46E-1,-2.662E-2,-6.167E-2,0E0,1.665E-2,8.907E1,4.765E3,1.86E5,5.229E7,-1.779E3,1.303E2,-1.208E-1,-1.616E4,1.374E1,2.045E0,4.11E6,-5.22E2,4.839E-1,4.941E1
5.663E1,4.336E-1,5.991E-7,1.404E3,6.719E-5,3.35E-3,?,1.61E2,?,?,?,-5.877E-1,7.615E-2,-2.178E-1,-8.956E-2,-1.585E-1,-2.103E-1,1.101E-1,-5.326E-4,-3.866E-2,0E0,1.817E-2,9.223E1,4.877E3,1.867E5,5.538E7,-1.781E3,1.348E2,1.103E-2,-1.732E4,-2.85E0,3.495E0,4.56E6,-3.674E2,-3.006E-2,6.413E1
5.986E1,4.297E-1,8.694E-7,1.337E3,5.949E-5,3.234E-3,?,1.51E2,?,?,?,-6.082E-1,1.056E-1,-1.658E-1,-7.729E-2,-1.984E-1,-4.896E-2,9.201E-2,-2.898E-2,-4.993E-2,0E0,1.852E-2,9.049E1,4.798E3,1.933E5,5.272E7,-1.773E3,1.393E2,1.161E-1,-1.852E4,-1.705E1,4.6E0,5.043E6,-2.462E2,-2.052E-1,7.478E1
